Symbol,Company Name,Industry
360ONE,360 ONE WAM Ltd.,Financial Services
3MINDIA,3M India Ltd.,Diversified
ABB,ABB India Ltd.,Capital Goods
ACC,ACC Ltd.,Construction Materials
ACMESOLAR,ACME Solar Holdings Ltd.,Power
AIAENG,AIA Engineering Ltd.,Capital Goods
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods
AUBANK,AU Small Finance Bank Ltd.,Financial Services
AWL,AWL Agri Business Ltd.,Fast Moving Consumer Goods
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services
AARTIIND,Aarti Industries Ltd.,Chemicals
AAVAS,Aavas Financiers Ltd.,Financial Services
ABBOTINDIA,Abbott India Ltd.,Healthcare
ACE,Action Construction Equipment Ltd.,Capital Goods
ACUTAAS,Acutaas Chemicals Ltd.,Healthcare
ADANIENSOL,Adani Energy Solutions Ltd.,Power
ADANIENT,Adani Enterprises Ltd.,Metals & Mining
ADANIGREEN,Adani Green Energy Ltd.,Power
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services
ADANIPOWER,Adani Power Ltd.,Power
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services
ABFRL,Aditya Birla Fashion and Retail Ltd.,Consumer Services
ABLBL,Aditya Birla Lifestyle Brands Ltd.,Consumer Services
ABREL,Aditya Birla Real Estate Ltd.,Realty
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Financial Services
CPPLUS,Aditya Infotech Ltd.,Capital Goods
AEGISLOG,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels
AEGISVOPAK,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels
AFCONS,Afcons Infrastructure Ltd.,Construction
AFFLE,Affle 3i Ltd.,Information Technology
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare
ALKEM,Alkem Laboratories Ltd.,Healthcare
ABDL,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods
ARE&M,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components
AMBER,Amber Enterprises India Ltd.,Consumer Durables
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials
ANANDRATHI,Anand Rathi Wealth Ltd.,Financial Services
ANANTRAJ,Anant Raj Ltd.,Realty
ANGELONE,Angel One Ltd.,Financial Services
ANTHEM,Anthem Biosciences Ltd.,Healthcare
ANURAS,Anupam Rasayan India Ltd.,Chemicals
APARINDS,Apar Industries Ltd.,Capital Goods
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare
APOLLOTYRE,Apollo Tyres Ltd.,Automobile and Auto Components
APTUS,Aptus Value Housing Finance India Ltd.,Financial Services
ASAHIINDIA,Asahi India Glass Ltd.,Automobile and Auto Components
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods
ASIANPAINT,Asian Paints Ltd.,Consumer Durables
ASTERDM,Aster DM Quality Care Ltd.,Healthcare
ASTRAL,Astral Ltd.,Capital Goods
ATHERENERG,Ather Energy Ltd.,Automobile and Auto Components
ATUL,Atul Ltd.,Chemicals
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare
AIIL,Authum Investment & Infrastructure Ltd.,Financial Services
DMART,Avenue Supermarts Ltd.,Consumer Services
AXISBANK,Axis Bank Ltd.,Financial Services
BEML,BEML Ltd.,Capital Goods
BLS,BLS International Services Ltd.,Consumer Services
BSE,BSE Ltd.,Financial Services
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components
BAJFINANCE,Bajaj Finance Ltd.,Financial Services
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services
BAJAJHFL,Bajaj Housing Finance Ltd.,Financial Services
BALKRISIND,Balkrishna Industries Ltd.,Automobile and Auto Components
BALRAMCHIN,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods
BANDHANBNK,Bandhan Bank Ltd.,Financial Services
BANKBARODA,Bank of Baroda,Financial Services
BANKINDIA,Bank of India,Financial Services
MAHABANK,Bank of Maharashtra,Financial Services
BATAINDIA,Bata India Ltd.,Consumer Durables
BAYERCROP,Bayer Cropscience Ltd.,Chemicals
BELRISE,Belrise Industries Ltd.,Automobile and Auto Components
BERGEPAINT,Berger Paints India Ltd.,Consumer Durables
BDL,Bharat Dynamics Ltd.,Capital Goods
BEL,Bharat Electronics Ltd.,Capital Goods
BHARATFORG,Bharat Forge Ltd.,Automobile and Auto Components
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication
BHARTIHEXA,Bharti Hexacom Ltd.,Telecommunication
BIKAJI,Bikaji Foods International Ltd.,Fast Moving Consumer Goods
GROWW,Billionbrains Garage Ventures Ltd.,Financial Services
BIOCON,Biocon Ltd.,Healthcare
BSOFT,Birlasoft Ltd.,Information Technology
BLUEDART,Blue Dart Express Ltd.,Services
BLUEJET,Blue Jet Healthcare Ltd.,Healthcare
BLUESTARCO,Blue Star Ltd.,Consumer Durables
BBTC,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components
FIRSTCRY,Brainbees Solutions Ltd.,Consumer Services
BRIGADE,Brigade Enterprises Ltd.,Realty
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods
MAPMYINDIA,C.E. Info Systems Ltd.,Information Technology
CCL,CCL Products (I) Ltd.,Fast Moving Consumer Goods
CESC,CESC Ltd.,Power
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods
CIEINDIA,CIE Automotive India Ltd.,Automobile and Auto Components
CRISIL,CRISIL Ltd.,Financial Services
CANFINHOME,Can Fin Homes Ltd.,Financial Services
CANBK,Canara Bank,Financial Services
CANHLIFE,Canara HSBC Life Insurance Company Ltd.,Financial Services
CAPLIPOINT,Caplin Point Laboratories Ltd.,Healthcare
CGCL,Capri Global Capital Ltd.,Financial Services
CARBORUNIV,Carborundum Universal Ltd.,Capital Goods
CARTRADE,Cartrade Tech Ltd.,Consumer Services
CASTROLIND,Castrol India Ltd.,Oil Gas & Consumable Fuels
CEATLTD,Ceat Ltd.,Automobile and Auto Components
CEMPRO,Cemindia Projects Ltd.,Construction
CENTRALBK,Central Bank of India,Financial Services
CDSL,Central Depository Services (India) Ltd.,Financial Services
CHALET,Chalet Hotels Ltd.,Consumer Services
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,Chemicals
CHENNPETRO,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
CHOICEIN,Choice International Ltd.,Financial Services
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,Financial Services
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services
CIPLA,Cipla Ltd.,Healthcare
CUB,City Union Bank Ltd.,Financial Services
CLEAN,Clean Science and Technology Ltd.,Chemicals
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels
COCHINSHIP,Cochin Shipyard Ltd.,Capital Goods
COFORGE,Coforge Ltd.,Information Technology
COHANCE,Cohance Lifesciences Ltd.,Healthcare
COLPAL,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods
CAMS,Computer Age Management Services Ltd.,Financial Services
CONCORDBIO,Concord Biotech Ltd.,Healthcare
CONCOR,Container Corporation of India Ltd.,Services
COROMANDEL,Coromandel International Ltd.,Chemicals
CRAFTSMAN,Craftsman Automation Ltd.,Automobile and Auto Components
CREDITACC,CreditAccess Grameen Ltd.,Financial Services
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables
CUMMINSIND,Cummins India Ltd.,Capital Goods
CYIENT,Cyient Ltd.,Information Technology
DCMSHRIRAM,DCM Shriram Ltd.,Diversified
DLF,DLF Ltd.,Realty
