Symbol,Company Name,Industry
ABB,ABB India Ltd.,Capital Goods
ADANIENSOL,Adani Energy Solutions Ltd.,Power
ADANIENT,Adani Enterprises Ltd.,Metals & Mining
ADANIGREEN,Adani Green Energy Ltd.,Power
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services
ADANIPOWER,Adani Power Ltd.,Power
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare
ASIANPAINT,Asian Paints Ltd.,Consumer Durables
DMART,Avenue Supermarts Ltd.,Consumer Services
AXISBANK,Axis Bank Ltd.,Financial Services
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components
BAJFINANCE,Bajaj Finance Ltd.,Financial Services
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services
BANKBARODA,Bank of Baroda,Financial Services
BEL,Bharat Electronics Ltd.,Capital Goods
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods
CANBK,Canara Bank,Financial Services
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services
CIPLA,Cipla Ltd.,Healthcare
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels
CUMMINSIND,Cummins India Ltd.,Capital Goods
DLF,DLF Ltd.,Realty
DIVISLAB,Divi's Laboratories Ltd.,Healthcare
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components
ETERNAL,Eternal Ltd.,Consumer Services
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels
GODREJCP,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods
GRASIM,Grasim Industries Ltd.,Construction Materials
HCLTECH,HCL Technologies Ltd.,Information Technology
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services
HDFCBANK,HDFC Bank Ltd.,Financial Services
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services
HINDALCO,Hindalco Industries Ltd.,Metals & Mining
HAL,Hindustan Aeronautics Ltd.,Capital Goods
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods
HINDZINC,Hindustan Zinc Ltd.,Metals & Mining
HYUNDAI,Hyundai Motor India Ltd.,Automobile and Auto Components
ICICIBANK,ICICI Bank Ltd.,Financial Services
ITC,ITC Ltd.,Fast Moving Consumer Goods
INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services
IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels
IRFC,Indian Railway Finance Corporation Ltd.,Financial Services
INFY,Infosys Ltd.,Information Technology
INDIGO,InterGlobe Aviation Ltd.,Services
JSWSTEEL,JSW Steel Ltd.,Metals & Mining
JINDALSTEL,Jindal Steel Ltd.,Metals & Mining
JIOFIN,Jio Financial Services Ltd.,Financial Services
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services
LTM,LTM Ltd.,Information Technology
LT,Larsen & Toubro Ltd.,Construction
LODHA,Lodha Developers Ltd.,Realty
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components
MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Capital Goods
MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services
NTPC,NTPC Ltd.,Power
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels
PIDILITIND,Pidilite Industries Ltd.,Chemicals
PFC,Power Finance Corporation Ltd.,Financial Services
POWERGRID,Power Grid Corporation of India Ltd.,Power
PNB,Punjab National Bank,Financial Services
RECLTD,REC Ltd.,Financial Services
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components
SHREECEM,Shree Cement Ltd.,Construction Materials
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services
ENRIN,Siemens Energy India Ltd.,Capital Goods
SIEMENS,Siemens Ltd.,Capital Goods
SOLARINDS,Solar Industries India Ltd.,Chemicals
SBIN,State Bank of India,Financial Services
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare
TVSMOTOR,TVS Motor Company Ltd.,Automobile and Auto Components
TATACAP,Tata Capital Ltd.,Financial Services
TCS,Tata Consultancy Services Ltd.,Information Technology
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods
TMCV,Tata Motors Ltd.,Capital Goods
TMPV,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components
TATAPOWER,Tata Power Co. Ltd.,Power
TATASTEEL,Tata Steel Ltd.,Metals & Mining
TECHM,Tech Mahindra Ltd.,Information Technology
TITAN,Titan Company Ltd.,Consumer Durables
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare
TRENT,Trent Ltd.,Consumer Services
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials
UNIONBANK,Union Bank of India,Financial Services
UNITDSPR,United Spirits Ltd.,Fast Moving Consumer Goods
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods
VEDL,Vedanta Ltd.,Metals & Mining
WIPRO,Wipro Ltd.,Information Technology
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare
