Symbol,Company Name,Industry
360ONE,360 ONE WAM Ltd.,Financial Services
3MINDIA,3M India Ltd.,Diversified
ACC,ACC Ltd.,Construction Materials
AIAENG,AIA Engineering Ltd.,Capital Goods
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods
AUBANK,AU Small Finance Bank Ltd.,Financial Services
AWL,AWL Agri Business Ltd.,Fast Moving Consumer Goods
ABBOTINDIA,Abbott India Ltd.,Healthcare
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare
ALKEM,Alkem Laboratories Ltd.,Healthcare
ANTHEM,Anthem Biosciences Ltd.,Healthcare
APARINDS,Apar Industries Ltd.,Capital Goods
APOLLOTYRE,Apollo Tyres Ltd.,Automobile and Auto Components
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods
ASTRAL,Astral Ltd.,Capital Goods
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare
AIIL,Authum Investment & Infrastructure Ltd.,Financial Services
BSE,BSE Ltd.,Financial Services
BAJAJHFL,Bajaj Housing Finance Ltd.,Financial Services
BALKRISIND,Balkrishna Industries Ltd.,Automobile and Auto Components
BANKINDIA,Bank of India,Financial Services
MAHABANK,Bank of Maharashtra,Financial Services
BERGEPAINT,Berger Paints India Ltd.,Consumer Durables
BDL,Bharat Dynamics Ltd.,Capital Goods
BHARATFORG,Bharat Forge Ltd.,Automobile and Auto Components
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods
BHARTIHEXA,Bharti Hexacom Ltd.,Telecommunication
GROWW,Billionbrains Garage Ventures Ltd.,Financial Services
BIOCON,Biocon Ltd.,Healthcare
BLUESTARCO,Blue Star Ltd.,Consumer Durables
CRISIL,CRISIL Ltd.,Financial Services
COCHINSHIP,Cochin Shipyard Ltd.,Capital Goods
COFORGE,Coforge Ltd.,Information Technology
COLPAL,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods
CONCOR,Container Corporation of India Ltd.,Services
COROMANDEL,Coromandel International Ltd.,Chemicals
DABUR,Dabur India Ltd.,Fast Moving Consumer Goods
DALBHARAT,Dalmia Bharat Ltd.,Construction Materials
DIXON,Dixon Technologies (India) Ltd.,Consumer Durables
ENDURANCE,Endurance Technologies Ltd.,Automobile and Auto Components
ESCORTS,Escorts Kubota Ltd.,Capital Goods
EXIDEIND,Exide Industries Ltd.,Automobile and Auto Components
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services
FEDERALBNK,Federal Bank Ltd.,Financial Services
FORTIS,Fortis Healthcare Ltd.,Healthcare
GVT&D,GE Vernova T&D India Ltd.,Capital Goods
GMRAIRPORT,GMR Airports Ltd.,Services
GICRE,General Insurance Corporation of India,Financial Services
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare
GLENMARK,Glenmark Pharmaceuticals Ltd.,Healthcare
MEDANTA,Global Health Ltd.,Healthcare
GODFRYPHLP,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods
GODREJIND,Godrej Industries Ltd.,Diversified
GODREJPROP,Godrej Properties Ltd.,Realty
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,Chemicals
HDBFS,HDB Financial Services Ltd.,Financial Services
HAVELLS,Havells India Ltd.,Consumer Durables
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components
HEXT,Hexaware Technologies Ltd.,Information Technology
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
POWERINDIA,Hitachi Energy India Ltd.,Capital Goods
HONAUT,Honeywell Automation India Ltd.,Capital Goods
HUDCO,Housing & Urban Development Corporation Ltd.,Financial Services
ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services
ICICIAMC,ICICI Prudential Asset Management Company Ltd.,Financial Services
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,Financial Services
IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services
ITCHOTELS,ITC Hotels Ltd.,Consumer Services
INDIANB,Indian Bank,Financial Services
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services
IREDA,Indian Renewable Energy Development Agency Ltd.,Financial Services
INDUSTOWER,Indus Towers Ltd.,Telecommunication
INDUSINDBK,IndusInd Bank Ltd.,Financial Services
NAUKRI,Info Edge (India) Ltd.,Consumer Services
IPCALAB,Ipca Laboratories Ltd.,Healthcare
JKCEMENT,J.K. Cement Ltd.,Construction Materials
JSWENERGY,JSW Energy Ltd.,Power
JSWINFRA,JSW Infrastructure Ltd.,Services
JSL,Jindal Stainless Ltd.,Metals & Mining
JUBLFOOD,Jubilant Foodworks Ltd.,Consumer Services
KPRMILL,K.P.R. Mill Ltd.,Textiles
KEI,KEI Industries Ltd.,Capital Goods
KPITTECH,KPIT Technologies Ltd.,Information Technology
KALYANKJIL,Kalyan Jewellers India Ltd.,Consumer Durables
LTF,L&T Finance Ltd.,Financial Services
LTTS,L&T Technology Services Ltd.,Information Technology
LGEINDIA,LG Electronics India Ltd.,Consumer Durables
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services
LAURUSLABS,Laurus Labs Ltd.,Healthcare
LENSKART,Lenskart Solutions Ltd.,Consumer Services
LICI,Life Insurance Corporation of India,Financial Services
LINDEINDIA,Linde India Ltd.,Chemicals
LLOYDSME,Lloyds Metals And Energy Ltd.,Metals & Mining
LUPIN,Lupin Ltd.,Healthcare
MRF,MRF Ltd.,Automobile and Auto Components
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,Financial Services
MANKIND,Mankind Pharma Ltd.,Healthcare
MARICO,Marico Ltd.,Fast Moving Consumer Goods
MFSL,Max Financial Services Ltd.,Financial Services
MOTILALOFS,Motilal Oswal Financial Services Ltd.,Financial Services
MPHASIS,MphasiS Ltd.,Information Technology
MCX,Multi Commodity Exchange of India Ltd.,Financial Services
NHPC,NHPC Ltd.,Power
NLCINDIA,NLC India Ltd.,Power
NMDC,NMDC Ltd.,Metals & Mining
NTPCGREEN,NTPC Green Energy Ltd.,Power
NATIONALUM,National Aluminium Co. Ltd.,Metals & Mining
NAM-INDIA,Nippon Life India Asset Management Ltd.,Financial Services
OBEROIRLTY,Oberoi Realty Ltd.,Realty
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels
PAYTM,One 97 Communications Ltd.,Financial Services
OFSS,Oracle Financial Services Software Ltd.,Information Technology
POLICYBZR,PB Fintech Ltd.,Financial Services
PIIND,PI Industries Ltd.,Chemicals
PAGEIND,Page Industries Ltd.,Textiles
PATANJALI,Patanjali Foods Ltd.,Fast Moving Consumer Goods
PERSISTENT,Persistent Systems Ltd.,Information Technology
PETRONET,Petronet LNG Ltd.,Oil Gas & Consumable Fuels
PHOENIXLTD,Phoenix Mills Ltd.,Realty
POLYCAB,Polycab India Ltd.,Capital Goods
PREMIERENE,Premier Energies Ltd.,Capital Goods
PRESTIGE,Prestige Estates Projects Ltd.,Realty
RADICO,Radico Khaitan Ltd,Fast Moving Consumer Goods
RVNL,Rail Vikas Nigam Ltd.,Construction
SBICARD,SBI Cards and Payment Services Ltd.,Financial Services
SJVN,SJVN Ltd.,Power
SRF,SRF Ltd.,Chemicals
SCHAEFFLER,Schaeffler India Ltd.,Automobile and Auto Components
SAIL,Steel Authority of India Ltd.,Metals & Mining
SUNDARMFIN,Sundaram Finance Ltd.,Financial Services
SUPREMEIND,Supreme Industries Ltd.,Capital Goods
SUZLON,Suzlon Energy Ltd.,Capital Goods
SWIGGY,Swiggy Ltd.,Consumer Services
TATACOMM,Tata Communications Ltd.,Telecommunication
TATAELXSI,Tata Elxsi Ltd.,Information Technology
TATAINVEST,Tata Investment Corporation Ltd.,Financial Services
NIACL,The New India Assurance Company Ltd.,Financial Services
THERMAX,Thermax Ltd.,Capital Goods
TORNTPOWER,Torrent Power Ltd.,Power
